Date,Open,Date_year,Date_day,Date_dayofweek
2017-04-07 16:00:00,65.85,2017.0,7.0,4.0
2017-04-10 16:00:00,65.61,2017.0,10.0,0.0
2017-04-11 16:00:00,65.6,2017.0,11.0,1.0
2017-04-12 16:00:00,65.42,2017.0,12.0,2.0
,65.29,0.0,0.0,0.0
,65.04,0.0,0.0,0.0
,65.33,0.0,0.0,0.0
,65.65,0.0,0.0,0.0
,65.46,0.0,0.0,0.0
,65.67,0.0,0.0,0.0
,67.48,0.0,0.0,0.0
,67.9,0.0,0.0,0.0
,68.08,0.0,0.0,0.0
,68.15,0.0,0.0,0.0
,68.91,0.0,0.0,0.0
2017-05-01 16:00:00,68.68,2017.0,1.0,0.0
2017-05-02 16:00:00,69.71,2017.0,2.0,1.0
2017-05-03 16:00:00,69.38,2017.0,3.0,2.0
2017-05-04 16:00:00,69.03,2017.0,4.0,3.0
2017-05-05 16:00:00,68.9,2017.0,5.0,4.0
2017-05-08 16:00:00,68.97,2017.0,8.0,0.0
2017-05-09 16:00:00,68.86,2017.0,9.0,1.0
2017-05-10 16:00:00,68.99,2017.0,10.0,2.0
2017-05-11 16:00:00,68.36,2017.0,11.0,3.0
2017-05-12 16:00:00,68.61,2017.0,12.0,4.0
,68.14,0.0,0.0,0.0
,68.23,0.0,0.0,0.0
,68.89,0.0,0.0,0.0
,67.4,0.0,0.0,0.0
,67.5,0.0,0.0,0.0
,67.89,0.0,0.0,0.0
,68.72,0.0,0.0,0.0
,68.87,0.0,0.0,0.0
,68.97,0.0,0.0,0.0
,69.8,0.0,0.0,0.0
,69.79,0.0,0.0,0.0
,70.53,0.0,0.0,0.0
2017-06-01 16:00:00,70.24,2017.0,1.0,3.0
2017-06-02 16:00:00,70.44,2017.0,2.0,4.0
2017-06-05 16:00:00,71.97,2017.0,5.0,0.0
2017-06-06 16:00:00,72.3,2017.0,6.0,1.0
2017-06-07 16:00:00,72.64,2017.0,7.0,2.0
2017-06-08 16:00:00,72.51,2017.0,8.0,3.0
2017-06-09 16:00:00,72.04,2017.0,9.0,4.0
2017-06-12 16:00:00,69.25,2017.0,12.0,0.0
,70.02,0.0,0.0,0.0
,70.91,0.0,0.0,0.0
,69.27,0.0,0.0,0.0
,69.73,0.0,0.0,0.0
,70.5,0.0,0.0,0.0
,70.82,0.0,0.0,0.0
,70.21,0.0,0.0,0.0
,70.54,0.0,0.0,0.0
,70.09,0.0,0.0,0.0
,71.4,0.0,0.0,0.0
,70.11,0.0,0.0,0.0
,69.21,0.0,0.0,0.0
,69.38,0.0,0.0,0.0
,68.78,0.0,0.0,0.0
2017-07-03 16:00:00,69.33,2017.0,3.0,0.0
2017-07-05 16:00:00,68.26,2017.0,5.0,2.0
2017-07-06 16:00:00,68.27,2017.0,6.0,3.0
2017-07-07 16:00:00,68.7,2017.0,7.0,4.0
2017-07-10 16:00:00,69.46,2017.0,10.0,0.0
2017-07-11 16:00:00,70.0,2017.0,11.0,1.0
2017-07-12 16:00:00,70.69,2017.0,12.0,2.0
,71.5,0.0,0.0,0.0
,72.24,0.0,0.0,0.0
,72.8,0.0,0.0,0.0
,73.09,0.0,0.0,0.0
,73.5,0.0,0.0,0.0
,74.18,0.0,0.0,0.0
,73.45,0.0,0.0,0.0
,73.53,0.0,0.0,0.0
,73.8,0.0,0.0,0.0
,74.34,0.0,0.0,0.0
,73.76,0.0,0.0,0.0
,72.67,0.0,0.0,0.0
,73.3,0.0,0.0,0.0
2017-08-01 16:00:00,73.1,2017.0,1.0,1.0
2017-08-02 16:00:00,72.55,2017.0,2.0,2.0
2017-08-03 16:00:00,72.19,2017.0,3.0,3.0
2017-08-04 16:00:00,72.4,2017.0,4.0,4.0
2017-08-07 16:00:00,72.8,2017.0,7.0,0.0
2017-08-08 16:00:00,72.09,2017.0,8.0,1.0
2017-08-09 16:00:00,72.25,2017.0,9.0,2.0
2017-08-10 16:00:00,71.9,2017.0,10.0,3.0
2017-08-11 16:00:00,71.61,2017.0,11.0,4.0
,73.06,0.0,0.0,0.0
,73.59,0.0,0.0,0.0
,73.34,0.0,0.0,0.0
,73.58,0.0,0.0,0.0
,72.27,0.0,0.0,0.0
,72.47,0.0,0.0,0.0
,72.35,0.0,0.0,0.0
,72.96,0.0,0.0,0.0
,72.74,0.0,0.0,0.0
,72.86,0.0,0.0,0.0
,73.06,0.0,0.0,0.0
,72.25,0.0,0.0,0.0
,73.01,0.0,0.0,0.0
,74.03,0.0,0.0,0.0
2017-09-01 16:00:00,74.71,2017.0,1.0,4.0
2017-09-05 16:00:00,73.34,2017.0,5.0,1.0
2017-09-06 16:00:00,73.74,2017.0,6.0,2.0
2017-09-07 16:00:00,73.68,2017.0,7.0,3.0
2017-09-08 16:00:00,74.33,2017.0,8.0,4.0
2017-09-11 16:00:00,74.31,2017.0,11.0,0.0
2017-09-12 16:00:00,74.76,2017.0,12.0,1.0
,74.93,0.0,0.0,0.0
,75.0,0.0,0.0,0.0
,74.83,0.0,0.0,0.0
,75.23,0.0,0.0,0.0
,75.21,0.0,0.0,0.0
,75.35,0.0,0.0,0.0
,75.11,0.0,0.0,0.0
,73.99,0.0,0.0,0.0
,74.09,0.0,0.0,0.0
,73.67,0.0,0.0,0.0
,73.55,0.0,0.0,0.0
,73.54,0.0,0.0,0.0
,73.94,0.0,0.0,0.0
2017-10-02 16:00:00,74.71,2017.0,2.0,0.0
2017-10-03 16:00:00,74.67,2017.0,3.0,1.0
2017-10-04 16:00:00,74.0,2017.0,4.0,2.0
2017-10-05 16:00:00,75.22,2017.0,5.0,3.0
2017-10-06 16:00:00,75.67,2017.0,6.0,4.0
2017-10-09 16:00:00,75.97,2017.0,9.0,0.0
2017-10-10 16:00:00,76.33,2017.0,10.0,1.0
2017-10-11 16:00:00,76.36,2017.0,11.0,2.0
2017-10-12 16:00:00,76.49,2017.0,12.0,3.0
,77.59,0.0,0.0,0.0
,77.42,0.0,0.0,0.0
,77.47,0.0,0.0,0.0
,77.67,0.0,0.0,0.0
,77.57,0.0,0.0,0.0
,78.32,0.0,0.0,0.0
,78.99,0.0,0.0,0.0
,78.9,0.0,0.0,0.0
,78.58,0.0,0.0,0.0
,79.2,0.0,0.0,0.0
,84.37,0.0,0.0,0.0
,83.7,0.0,0.0,0.0
,84.36,0.0,0.0,0.0
2017-11-01 16:00:00,83.68,2017.0,1.0,2.0
2017-11-02 16:00:00,83.35,2017.0,2.0,3.0
2017-11-03 16:00:00,84.08,2017.0,3.0,4.0
2017-11-06 16:00:00,84.2,2017.0,6.0,0.0
2017-11-07 16:00:00,84.77,2017.0,7.0,1.0
2017-11-08 16:00:00,84.14,2017.0,8.0,2.0
2017-11-09 16:00:00,84.11,2017.0,9.0,3.0
2017-11-10 16:00:00,83.79,2017.0,10.0,4.0
,83.66,0.0,0.0,0.0
,83.5,0.0,0.0,0.0
,83.47,0.0,0.0,0.0
,83.1,0.0,0.0,0.0
,83.12,0.0,0.0,0.0
,82.4,0.0,0.0,0.0
,82.74,0.0,0.0,0.0
,83.83,0.0,0.0,0.0
,83.01,0.0,0.0,0.0
,83.31,0.0,0.0,0.0
,84.07,0.0,0.0,0.0
,84.71,0.0,0.0,0.0
,83.51,0.0,0.0,0.0
2017-12-01 16:00:00,83.6,2017.0,1.0,4.0
2017-12-04 16:00:00,84.42,2017.0,4.0,0.0
2017-12-05 16:00:00,81.34,2017.0,5.0,1.0
2017-12-06 16:00:00,81.55,2017.0,6.0,2.0
2017-12-07 16:00:00,82.54,2017.0,7.0,3.0
2017-12-08 16:00:00,83.63,2017.0,8.0,4.0
2017-12-11 16:00:00,84.29,2017.0,11.0,0.0
2017-12-12 16:00:00,85.31,2017.0,12.0,1.0
,85.74,0.0,0.0,0.0
,85.43,0.0,0.0,0.0
,85.26,0.0,0.0,0.0
,87.12,0.0,0.0,0.0
,86.35,0.0,0.0,0.0
,86.2,0.0,0.0,0.0
,86.05,0.0,0.0,0.0
,85.4,0.0,0.0,0.0
,85.31,0.0,0.0,0.0
,85.65,0.0,0.0,0.0
,85.9,0.0,0.0,0.0
,85.63,0.0,0.0,0.0
2018-01-02 16:00:00,86.13,2018.0,2.0,1.0
2018-01-03 16:00:00,86.06,2018.0,3.0,2.0
2018-01-04 16:00:00,86.59,2018.0,4.0,3.0
2018-01-05 16:00:00,87.66,2018.0,5.0,4.0
2018-01-08 16:00:00,88.2,2018.0,8.0,0.0
2018-01-09 16:00:00,88.65,2018.0,9.0,1.0
2018-01-10 16:00:00,87.86,2018.0,10.0,2.0
2018-01-11 16:00:00,88.13,2018.0,11.0,3.0
2018-01-12 16:00:00,88.67,2018.0,12.0,4.0
,90.1,0.0,0.0,0.0
,89.08,0.0,0.0,0.0
,89.8,0.0,0.0,0.0
,90.14,0.0,0.0,0.0
,90.0,0.0,0.0,0.0
,91.9,0.0,0.0,0.0
,92.55,0.0,0.0,0.0
,92.47,0.0,0.0,0.0
,93.12,0.0,0.0,0.0
,95.14,0.0,0.0,0.0
,93.3,0.0,0.0,0.0
,93.75,0.0,0.0,0.0
2018-02-01 16:00:00,94.79,2018.0,1.0,3.0
2018-02-02 16:00:00,93.64,2018.0,2.0,4.0
2018-02-05 16:00:00,90.56,2018.0,5.0,0.0
2018-02-06 16:00:00,86.89,2018.0,6.0,1.0
2018-02-07 16:00:00,90.49,2018.0,7.0,2.0
2018-02-08 16:00:00,89.71,2018.0,8.0,3.0
2018-02-09 16:00:00,86.3,2018.0,9.0,4.0
2018-02-12 16:00:00,88.74,2018.0,12.0,0.0
,88.93,0.0,0.0,0.0
,88.51,0.0,0.0,0.0
,91.21,0.0,0.0,0.0
,92.45,0.0,0.0,0.0
,91.48,0.0,0.0,0.0
,92.98,0.0,0.0,0.0
,92.05,0.0,0.0,0.0
,92.75,0.0,0.0,0.0
,94.4,0.0,0.0,0.0
,95.74,0.0,0.0,0.0
,94.84,0.0,0.0,0.0
2018-03-01 16:00:00,93.99,2018.0,1.0,3.0
2018-03-02 16:00:00,91.58,2018.0,2.0,4.0
2018-03-05 16:00:00,92.34,2018.0,5.0,0.0
2018-03-06 16:00:00,94.34,2018.0,6.0,1.0
2018-03-07 16:00:00,93.16,2018.0,7.0,2.0
2018-03-08 16:00:00,94.27,2018.0,8.0,3.0
2018-03-09 16:00:00,95.29,2018.0,9.0,4.0
2018-03-12 16:00:00,96.5,2018.0,12.0,0.0
,97.0,0.0,0.0,0.0
,95.12,0.0,0.0,0.0
,93.53,0.0,0.0,0.0
,94.68,0.0,0.0,0.0
,93.74,0.0,0.0,0.0
,93.05,0.0,0.0,0.0
,92.93,0.0,0.0,0.0
,91.27,0.0,0.0,0.0
,89.5,0.0,0.0,0.0
,90.61,0.0,0.0,0.0
,94.94,0.0,0.0,0.0
,89.82,0.0,0.0,0.0
,90.18,0.0,0.0,0.0
2018-04-02 16:00:00,90.47,2018.0,2.0,0.0
2018-04-03 16:00:00,89.58,2018.0,3.0,1.0
2018-04-04 16:00:00,87.85,2018.0,4.0,2.0
2018-04-05 16:00:00,92.44,2018.0,5.0,3.0
2018-04-06 16:00:00,91.49,2018.0,6.0,4.0
2018-04-09 16:00:00,91.04,2018.0,9.0,0.0
2018-04-10 16:00:00,92.39,2018.0,10.0,1.0
2018-04-11 16:00:00,92.01,2018.0,11.0,2.0
2018-04-12 16:00:00,92.43,2018.0,12.0,3.0
,94.05,0.0,0.0,0.0
,94.07,0.0,0.0,0.0
,95.0,0.0,0.0,0.0
,96.22,0.0,0.0,0.0
,96.44,0.0,0.0,0.0
,95.91,0.0,0.0,0.0
,95.74,0.0,0.0,0.0
,96.24,0.0,0.0,0.0
,93.3,0.0,0.0,0.0
,93.55,0.0,0.0,0.0
,97.6,0.0,0.0,0.0
,96.33,0.0,0.0,0.0
2018-05-01 16:00:00,93.21,2018.0,1.0,1.0
2018-05-02 16:00:00,94.99,2018.0,2.0,2.0
2018-05-03 16:00:00,92.96,2018.0,3.0,3.0
2018-05-04 16:00:00,93.32,2018.0,4.0,4.0
2018-05-07 16:00:00,95.17,2018.0,7.0,0.0
2018-05-08 16:00:00,95.85,2018.0,8.0,1.0
2018-05-09 16:00:00,96.01,2018.0,9.0,2.0
2018-05-10 16:00:00,97.46,2018.0,10.0,3.0
2018-05-11 16:00:00,97.8,2018.0,11.0,4.0
,97.92,0.0,0.0,0.0
,97.24,0.0,0.0,0.0
,97.36,0.0,0.0,0.0
,96.76,0.0,0.0,0.0
,96.01,0.0,0.0,0.0
,97.0,0.0,0.0,0.0
,97.68,0.0,0.0,0.0
,96.71,0.0,0.0,0.0
,98.73,0.0,0.0,0.0
,98.3,0.0,0.0,0.0
,97.84,0.0,0.0,0.0
,98.31,0.0,0.0,0.0
,99.29,0.0,0.0,0.0
2018-06-01 16:00:00,99.28,2018.0,1.0,4.0
2018-06-04 16:00:00,101.26,2018.0,4.0,0.0
2018-06-05 16:00:00,102.0,2018.0,5.0,1.0
2018-06-06 16:00:00,102.48,2018.0,6.0,2.0
2018-06-07 16:00:00,102.65,2018.0,7.0,3.0
2018-06-08 16:00:00,101.09,2018.0,8.0,4.0
2018-06-11 16:00:00,101.37,2018.0,11.0,0.0
2018-06-12 16:00:00,101.1,2018.0,12.0,1.0
,101.72,0.0,0.0,0.0
,101.65,0.0,0.0,0.0
,101.51,0.0,0.0,0.0
,100.01,0.0,0.0,0.0
,99.65,0.0,0.0,0.0
,101.37,0.0,0.0,0.0
,102.08,0.0,0.0,0.0
,100.41,0.0,0.0,0.0
,100.0,0.0,0.0,0.0
,98.82,0.0,0.0,0.0
,99.58,0.0,0.0,0.0
,97.38,0.0,0.0,0.0
,98.93,0.0,0.0,0.0
2018-07-02 16:00:00,98.1,2018.0,2.0,0.0
2018-07-03 13:00:00,100.48,2018.0,3.0,1.0
2018-07-05 16:00:00,99.5,2018.0,5.0,3.0
2018-07-06 16:00:00,99.89,2018.0,6.0,4.0
2018-07-09 16:00:00,101.65,2018.0,9.0,0.0
2018-07-10 16:00:00,102.0,2018.0,10.0,1.0
2018-07-11 16:00:00,101.15,2018.0,11.0,2.0
2018-07-12 16:00:00,102.77,2018.0,12.0,3.0
,104.37,0.0,0.0,0.0
,105.4,0.0,0.0,0.0
,104.61,0.0,0.0,0.0
,105.94,0.0,0.0,0.0
,104.93,0.0,0.0,0.0
,108.08,0.0,0.0,0.0
,106.3,0.0,0.0,0.0
,108.57,0.0,0.0,0.0
,107.96,0.0,0.0,0.0
,110.74,0.0,0.0,0.0
,110.18,0.0,0.0,0.0
,107.19,0.0,0.0,0.0
,106.49,0.0,0.0,0.0
2018-08-01 16:00:00,106.03,2018.0,1.0,2.0
2018-08-02 16:00:00,105.4,2018.0,2.0,3.0
2018-08-03 16:00:00,107.8,2018.0,3.0,4.0
2018-08-06 16:00:00,108.12,2018.0,6.0,0.0
2018-08-07 16:00:00,108.56,2018.0,7.0,1.0
2018-08-08 16:00:00,109.33,2018.0,8.0,2.0
2018-08-09 16:00:00,109.71,2018.0,9.0,3.0
2018-08-10 16:00:00,109.42,2018.0,10.0,4.0
,109.24,0.0,0.0,0.0
,108.56,0.0,0.0,0.0
,108.49,0.0,0.0,0.0
,108.3,0.0,0.0,0.0
,107.36,0.0,0.0,0.0
,107.51,0.0,0.0,0.0
,106.92,0.0,0.0,0.0
,105.85,0.0,0.0,0.0
,107.15,0.0,0.0,0.0
,107.67,0.0,0.0,0.0
,109.27,0.0,0.0,0.0
,109.94,0.0,0.0,0.0
,110.45,0.0,0.0,0.0
,111.67,0.0,0.0,0.0
,111.69,0.0,0.0,0.0
2018-09-04 16:00:00,110.85,2018.0,4.0,1.0
2018-09-05 16:00:00,111.01,2018.0,5.0,2.0
2018-09-06 16:00:00,108.25,2018.0,6.0,3.0
2018-09-07 16:00:00,108.23,2018.0,7.0,4.0
2018-09-10 16:00:00,108.84,2018.0,10.0,0.0
2018-09-11 16:00:00,108.9,2018.0,11.0,1.0
2018-09-12 16:00:00,111.43,2018.0,12.0,2.0
,112.12,0.0,0.0,0.0
,113.36,0.0,0.0,0.0
,113.69,0.0,0.0,0.0
,112.19,0.0,0.0,0.0
,113.05,0.0,0.0,0.0
,112.28,0.0,0.0,0.0
,114.0,0.0,0.0,0.0
,113.03,0.0,0.0,0.0
,114.8,0.0,0.0,0.0
,114.47,0.0,0.0,0.0
,114.78,0.0,0.0,0.0
,114.19,0.0,0.0,0.0
2018-10-01 16:00:00,114.75,2018.0,1.0,0.0
2018-10-02 16:00:00,115.3,2018.0,2.0,1.0
2018-10-03 16:00:00,115.42,2018.0,3.0,2.0
2018-10-04 16:00:00,114.61,2018.0,4.0,3.0
2018-10-05 16:00:00,112.63,2018.0,5.0,4.0
2018-10-08 16:00:00,111.66,2018.0,8.0,0.0
2018-10-09 16:00:00,111.14,2018.0,9.0,1.0
2018-10-10 16:00:00,111.24,2018.0,10.0,2.0
2018-10-11 16:00:00,105.35,2018.0,11.0,3.0
2018-10-12 16:00:00,109.01,2018.0,12.0,4.0
,108.91,0.0,0.0,0.0
,109.54,0.0,0.0,0.0
,111.68,0.0,0.0,0.0
,110.1,0.0,0.0,0.0
,108.93,0.0,0.0,0.0
,109.32,0.0,0.0,0.0
,107.77,0.0,0.0,0.0
,108.41,0.0,0.0,0.0
,106.55,0.0,0.0,0.0
,105.69,0.0,0.0,0.0
,108.11,0.0,0.0,0.0
,103.66,0.0,0.0,0.0
,105.44,0.0,0.0,0.0
2018-11-01 16:00:00,107.05,2018.0,1.0,3.0
2018-11-02 16:00:00,106.48,2018.0,2.0,4.0
2018-11-05 16:00:00,106.37,2018.0,5.0,0.0
2018-11-06 16:00:00,107.38,2018.0,6.0,1.0
2018-11-07 16:00:00,109.44,2018.0,7.0,2.0
2018-11-08 16:00:00,111.8,2018.0,8.0,3.0
2018-11-09 16:00:00,110.85,2018.0,9.0,4.0
2018-11-12 16:00:00,109.42,2018.0,12.0,0.0
,107.55,0.0,0.0,0.0
,108.1,0.0,0.0,0.0
,104.99,0.0,0.0,0.0
,107.08,0.0,0.0,0.0
,108.27,0.0,0.0,0.0
,101.8,0.0,0.0,0.0
,103.6,0.0,0.0,0.0
,102.17,0.0,0.0,0.0
,104.79,0.0,0.0,0.0
,106.27,0.0,0.0,0.0
,107.89,0.0,0.0,0.0
,110.33,0.0,0.0,0.0
,110.7,0.0,0.0,0.0
2018-12-03 16:00:00,113.0,2018.0,3.0,0.0
2018-12-04 16:00:00,111.94,2018.0,4.0,1.0
2018-12-06 16:00:00,105.82,2018.0,6.0,3.0
2018-12-07 16:00:00,108.38,2018.0,7.0,4.0
2018-12-10 16:00:00,104.8,2018.0,10.0,0.0
2018-12-11 16:00:00,109.8,2018.0,11.0,1.0
2018-12-12 16:00:00,110.89,2018.0,12.0,2.0
,109.58,0.0,0.0,0.0
,108.25,0.0,0.0,0.0
,105.41,0.0,0.0,0.0
,103.75,0.0,0.0,0.0
,103.65,0.0,0.0,0.0
,103.05,0.0,0.0,0.0
,101.63,0.0,0.0,0.0
,97.68,0.0,0.0,0.0
,95.14,0.0,0.0,0.0
,99.3,0.0,0.0,0.0
,102.09,0.0,0.0,0.0
,101.29,0.0,0.0,0.0
2019-01-02 16:00:00,99.55,2019.0,2.0,2.0
2019-01-03 16:00:00,100.1,2019.0,3.0,3.0
2019-01-04 16:00:00,99.72,2019.0,4.0,4.0
2019-01-07 16:00:00,101.64,2019.0,7.0,0.0
2019-01-08 16:00:00,103.04,2019.0,8.0,1.0
2019-01-09 16:00:00,103.86,2019.0,9.0,2.0
2019-01-10 16:00:00,103.22,2019.0,10.0,3.0
2019-01-11 16:00:00,103.19,2019.0,11.0,4.0
,101.9,0.0,0.0,0.0
,102.51,0.0,0.0,0.0
,105.26,0.0,0.0,0.0
,105.0,0.0,0.0,0.0
,107.46,0.0,0.0,0.0
,106.75,0.0,0.0,0.0
,106.12,0.0,0.0,0.0
,106.86,0.0,0.0,0.0
,107.24,0.0,0.0,0.0
,106.26,0.0,0.0,0.0
,104.88,0.0,0.0,0.0
,104.62,0.0,0.0,0.0
,103.8,0.0,0.0,0.0
2019-02-01 16:00:00,103.78,2019.0,1.0,4.0
2019-02-04 16:00:00,102.87,2019.0,4.0,0.0
2019-02-05 16:00:00,106.06,2019.0,5.0,1.0
2019-02-06 16:00:00,107.0,2019.0,6.0,2.0
2019-02-07 16:00:00,105.19,2019.0,7.0,3.0
2019-02-08 16:00:00,104.39,2019.0,8.0,4.0
2019-02-11 16:00:00,106.2,2019.0,11.0,0.0
2019-02-12 16:00:00,106.14,2019.0,12.0,1.0
,107.5,0.0,0.0,0.0
,106.31,0.0,0.0,0.0
,107.91,0.0,0.0,0.0
,107.79,0.0,0.0,0.0
,107.86,0.0,0.0,0.0
,106.9,0.0,0.0,0.0
,110.05,0.0,0.0,0.0
,111.76,0.0,0.0,0.0
,111.26,0.0,0.0,0.0
,111.69,0.0,0.0,0.0
,112.04,0.0,0.0,0.0
2019-03-01 16:00:00,112.89,2019.0,1.0,4.0
2019-03-04 16:00:00,113.02,2019.0,4.0,0.0
2019-03-05 16:00:00,112.25,2019.0,5.0,1.0
2019-03-06 16:00:00,111.87,2019.0,6.0,2.0
2019-03-07 16:00:00,111.4,2019.0,7.0,3.0
2019-03-08 16:00:00,109.16,2019.0,8.0,4.0
2019-03-11 16:00:00,110.99,2019.0,11.0,0.0
2019-03-12 16:00:00,112.82,2019.0,12.0,1.0
,114.13,0.0,0.0,0.0
,114.54,0.0,0.0,0.0
,115.34,0.0,0.0,0.0
,116.17,0.0,0.0,0.0
,118.09,0.0,0.0,0.0
,117.39,0.0,0.0,0.0
,117.14,0.0,0.0,0.0
,119.5,0.0,0.0,0.0
,116.56,0.0,0.0,0.0
,118.62,0.0,0.0,0.0
,117.88,0.0,0.0,0.0
,117.44,0.0,0.0,0.0
,118.07,0.0,0.0,0.0
2019-04-01 16:00:00,118.95,2019.0,1.0,0.0
2019-04-02 16:00:00,119.06,2019.0,2.0,1.0
2019-04-03 16:00:00,119.86,2019.0,3.0,2.0
2019-04-04 16:00:00,120.1,2019.0,4.0,3.0
2019-04-05 16:00:00,119.39,2019.0,5.0,4.0
2019-04-08 16:00:00,119.81,2019.0,8.0,0.0
2019-04-09 16:00:00,118.63,2019.0,9.0,1.0
