Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
2018-04-11 16:00:00,92.01,2018.0,4.0,11.0,2.0,2.0
2018-04-12 16:00:00,92.43,2018.0,4.0,12.0,3.0,2.0
Unknown,94.05,0.0,0.0,0.0,0.0,0.0
Unknown,94.07,0.0,0.0,0.0,0.0,0.0
Unknown,95.0,0.0,0.0,0.0,0.0,0.0
Unknown,96.22,0.0,0.0,0.0,0.0,0.0
Unknown,96.44,0.0,0.0,0.0,0.0,0.0
Unknown,95.91,0.0,0.0,0.0,0.0,0.0
Unknown,95.74,0.0,0.0,0.0,0.0,0.0
Unknown,96.24,0.0,0.0,0.0,0.0,0.0
Unknown,93.3,0.0,0.0,0.0,0.0,0.0
Unknown,93.55,0.0,0.0,0.0,0.0,0.0
Unknown,97.6,0.0,0.0,0.0,0.0,0.0
Unknown,96.33,0.0,0.0,0.0,0.0,0.0
2018-05-01 16:00:00,93.21,2018.0,5.0,1.0,1.0,2.0
2018-05-02 16:00:00,94.99,2018.0,5.0,2.0,2.0,2.0
2018-05-03 16:00:00,92.96,2018.0,5.0,3.0,3.0,2.0
2018-05-04 16:00:00,93.32,2018.0,5.0,4.0,4.0,2.0
2018-05-07 16:00:00,95.17,2018.0,5.0,7.0,0.0,2.0
2018-05-08 16:00:00,95.85,2018.0,5.0,8.0,1.0,2.0
2018-05-09 16:00:00,96.01,2018.0,5.0,9.0,2.0,2.0
2018-05-10 16:00:00,97.46,2018.0,5.0,10.0,3.0,2.0
2018-05-11 16:00:00,97.8,2018.0,5.0,11.0,4.0,2.0
Unknown,97.92,0.0,0.0,0.0,0.0,0.0
Unknown,97.24,0.0,0.0,0.0,0.0,0.0
Unknown,97.36,0.0,0.0,0.0,0.0,0.0
Unknown,96.76,0.0,0.0,0.0,0.0,0.0
Unknown,96.01,0.0,0.0,0.0,0.0,0.0
Unknown,97.0,0.0,0.0,0.0,0.0,0.0
Unknown,97.68,0.0,0.0,0.0,0.0,0.0
Unknown,96.71,0.0,0.0,0.0,0.0,0.0
Unknown,98.73,0.0,0.0,0.0,0.0,0.0
Unknown,98.3,0.0,0.0,0.0,0.0,0.0
Unknown,97.84,0.0,0.0,0.0,0.0,0.0
Unknown,98.31,0.0,0.0,0.0,0.0,0.0
Unknown,99.29,0.0,0.0,0.0,0.0,0.0
2018-06-01 16:00:00,99.28,2018.0,6.0,1.0,4.0,2.0
2018-06-04 16:00:00,101.26,2018.0,6.0,4.0,0.0,2.0
2018-06-05 16:00:00,102.0,2018.0,6.0,5.0,1.0,2.0
2018-06-06 16:00:00,102.48,2018.0,6.0,6.0,2.0,2.0
2018-06-07 16:00:00,102.65,2018.0,6.0,7.0,3.0,2.0
2018-06-08 16:00:00,101.09,2018.0,6.0,8.0,4.0,2.0
2018-06-11 16:00:00,101.37,2018.0,6.0,11.0,0.0,2.0
2018-06-12 16:00:00,101.1,2018.0,6.0,12.0,1.0,2.0
Unknown,101.72,0.0,0.0,0.0,0.0,0.0
Unknown,101.65,0.0,0.0,0.0,0.0,0.0
Unknown,101.51,0.0,0.0,0.0,0.0,0.0
Unknown,100.01,0.0,0.0,0.0,0.0,0.0
Unknown,99.65,0.0,0.0,0.0,0.0,0.0
Unknown,101.37,0.0,0.0,0.0,0.0,0.0
Unknown,102.08,0.0,0.0,0.0,0.0,0.0
Unknown,100.41,0.0,0.0,0.0,0.0,0.0
Unknown,100.0,0.0,0.0,0.0,0.0,0.0
Unknown,98.82,0.0,0.0,0.0,0.0,0.0
Unknown,99.58,0.0,0.0,0.0,0.0,0.0
Unknown,97.38,0.0,0.0,0.0,0.0,0.0
Unknown,98.93,0.0,0.0,0.0,0.0,0.0
2018-07-02 16:00:00,98.1,2018.0,7.0,2.0,0.0,3.0
2018-07-03 13:00:00,100.48,2018.0,7.0,3.0,1.0,3.0
2018-07-05 16:00:00,99.5,2018.0,7.0,5.0,3.0,3.0
2018-07-06 16:00:00,99.89,2018.0,7.0,6.0,4.0,3.0
2018-07-09 16:00:00,101.65,2018.0,7.0,9.0,0.0,3.0
2018-07-10 16:00:00,102.0,2018.0,7.0,10.0,1.0,3.0
2018-07-11 16:00:00,101.15,2018.0,7.0,11.0,2.0,3.0
2018-07-12 16:00:00,102.77,2018.0,7.0,12.0,3.0,3.0
Unknown,104.37,0.0,0.0,0.0,0.0,0.0
Unknown,105.4,0.0,0.0,0.0,0.0,0.0
Unknown,104.61,0.0,0.0,0.0,0.0,0.0
Unknown,105.94,0.0,0.0,0.0,0.0,0.0
Unknown,104.93,0.0,0.0,0.0,0.0,0.0
Unknown,108.08,0.0,0.0,0.0,0.0,0.0
Unknown,106.3,0.0,0.0,0.0,0.0,0.0
Unknown,108.57,0.0,0.0,0.0,0.0,0.0
Unknown,107.96,0.0,0.0,0.0,0.0,0.0
Unknown,110.74,0.0,0.0,0.0,0.0,0.0
Unknown,110.18,0.0,0.0,0.0,0.0,0.0
Unknown,107.19,0.0,0.0,0.0,0.0,0.0
Unknown,106.49,0.0,0.0,0.0,0.0,0.0
2018-08-01 16:00:00,106.03,2018.0,8.0,1.0,2.0,3.0
2018-08-02 16:00:00,105.4,2018.0,8.0,2.0,3.0,3.0
2018-08-03 16:00:00,107.8,2018.0,8.0,3.0,4.0,3.0
2018-08-06 16:00:00,108.12,2018.0,8.0,6.0,0.0,3.0
2018-08-07 16:00:00,108.56,2018.0,8.0,7.0,1.0,3.0
2018-08-08 16:00:00,109.33,2018.0,8.0,8.0,2.0,3.0
2018-08-09 16:00:00,109.71,2018.0,8.0,9.0,3.0,3.0
2018-08-10 16:00:00,109.42,2018.0,8.0,10.0,4.0,3.0
Unknown,109.24,0.0,0.0,0.0,0.0,0.0
Unknown,108.56,0.0,0.0,0.0,0.0,0.0
Unknown,108.49,0.0,0.0,0.0,0.0,0.0
Unknown,108.3,0.0,0.0,0.0,0.0,0.0
Unknown,107.36,0.0,0.0,0.0,0.0,0.0
Unknown,107.51,0.0,0.0,0.0,0.0,0.0
Unknown,106.92,0.0,0.0,0.0,0.0,0.0
Unknown,105.85,0.0,0.0,0.0,0.0,0.0
Unknown,107.15,0.0,0.0,0.0,0.0,0.0
Unknown,107.67,0.0,0.0,0.0,0.0,0.0
Unknown,109.27,0.0,0.0,0.0,0.0,0.0
Unknown,109.94,0.0,0.0,0.0,0.0,0.0
Unknown,110.45,0.0,0.0,0.0,0.0,0.0
Unknown,111.67,0.0,0.0,0.0,0.0,0.0
Unknown,111.69,0.0,0.0,0.0,0.0,0.0
2018-09-04 16:00:00,110.85,2018.0,9.0,4.0,1.0,3.0
2018-09-05 16:00:00,111.01,2018.0,9.0,5.0,2.0,3.0
2018-09-06 16:00:00,108.25,2018.0,9.0,6.0,3.0,3.0
2018-09-07 16:00:00,108.23,2018.0,9.0,7.0,4.0,3.0
2018-09-10 16:00:00,108.84,2018.0,9.0,10.0,0.0,3.0
2018-09-11 16:00:00,108.9,2018.0,9.0,11.0,1.0,3.0
2018-09-12 16:00:00,111.43,2018.0,9.0,12.0,2.0,3.0
Unknown,112.12,0.0,0.0,0.0,0.0,0.0
Unknown,113.36,0.0,0.0,0.0,0.0,0.0
Unknown,113.69,0.0,0.0,0.0,0.0,0.0
Unknown,112.19,0.0,0.0,0.0,0.0,0.0
Unknown,113.05,0.0,0.0,0.0,0.0,0.0
Unknown,112.28,0.0,0.0,0.0,0.0,0.0
Unknown,114.0,0.0,0.0,0.0,0.0,0.0
Unknown,113.03,0.0,0.0,0.0,0.0,0.0
Unknown,114.8,0.0,0.0,0.0,0.0,0.0
Unknown,114.47,0.0,0.0,0.0,0.0,0.0
Unknown,114.78,0.0,0.0,0.0,0.0,0.0
Unknown,114.19,0.0,0.0,0.0,0.0,0.0
2018-10-01 16:00:00,114.75,2018.0,10.0,1.0,0.0,4.0
2018-10-02 16:00:00,115.3,2018.0,10.0,2.0,1.0,4.0
2018-10-03 16:00:00,115.42,2018.0,10.0,3.0,2.0,4.0
2018-10-04 16:00:00,114.61,2018.0,10.0,4.0,3.0,4.0
2018-10-05 16:00:00,112.63,2018.0,10.0,5.0,4.0,4.0
2018-10-08 16:00:00,111.66,2018.0,10.0,8.0,0.0,4.0
2018-10-09 16:00:00,111.14,2018.0,10.0,9.0,1.0,4.0
2018-10-10 16:00:00,111.24,2018.0,10.0,10.0,2.0,4.0
2018-10-11 16:00:00,105.35,2018.0,10.0,11.0,3.0,4.0
2018-10-12 16:00:00,109.01,2018.0,10.0,12.0,4.0,4.0
Unknown,108.91,0.0,0.0,0.0,0.0,0.0
Unknown,109.54,0.0,0.0,0.0,0.0,0.0
Unknown,111.68,0.0,0.0,0.0,0.0,0.0
Unknown,110.1,0.0,0.0,0.0,0.0,0.0
Unknown,108.93,0.0,0.0,0.0,0.0,0.0
Unknown,109.32,0.0,0.0,0.0,0.0,0.0
Unknown,107.77,0.0,0.0,0.0,0.0,0.0
Unknown,108.41,0.0,0.0,0.0,0.0,0.0
Unknown,106.55,0.0,0.0,0.0,0.0,0.0
Unknown,105.69,0.0,0.0,0.0,0.0,0.0
Unknown,108.11,0.0,0.0,0.0,0.0,0.0
Unknown,103.66,0.0,0.0,0.0,0.0,0.0
Unknown,105.44,0.0,0.0,0.0,0.0,0.0
2018-11-01 16:00:00,107.05,2018.0,11.0,1.0,3.0,4.0
2018-11-02 16:00:00,106.48,2018.0,11.0,2.0,4.0,4.0
2018-11-05 16:00:00,106.37,2018.0,11.0,5.0,0.0,4.0
2018-11-06 16:00:00,107.38,2018.0,11.0,6.0,1.0,4.0
2018-11-07 16:00:00,109.44,2018.0,11.0,7.0,2.0,4.0
2018-11-08 16:00:00,111.8,2018.0,11.0,8.0,3.0,4.0
2018-11-09 16:00:00,110.85,2018.0,11.0,9.0,4.0,4.0
2018-11-12 16:00:00,109.42,2018.0,11.0,12.0,0.0,4.0
Unknown,107.55,0.0,0.0,0.0,0.0,0.0
Unknown,108.1,0.0,0.0,0.0,0.0,0.0
Unknown,104.99,0.0,0.0,0.0,0.0,0.0
Unknown,107.08,0.0,0.0,0.0,0.0,0.0
Unknown,108.27,0.0,0.0,0.0,0.0,0.0
Unknown,101.8,0.0,0.0,0.0,0.0,0.0
Unknown,103.6,0.0,0.0,0.0,0.0,0.0
Unknown,102.17,0.0,0.0,0.0,0.0,0.0
Unknown,104.79,0.0,0.0,0.0,0.0,0.0
Unknown,106.27,0.0,0.0,0.0,0.0,0.0
Unknown,107.89,0.0,0.0,0.0,0.0,0.0
Unknown,110.33,0.0,0.0,0.0,0.0,0.0
Unknown,110.7,0.0,0.0,0.0,0.0,0.0
2018-12-03 16:00:00,113.0,2018.0,12.0,3.0,0.0,4.0
2018-12-04 16:00:00,111.94,2018.0,12.0,4.0,1.0,4.0
2018-12-06 16:00:00,105.82,2018.0,12.0,6.0,3.0,4.0
2018-12-07 16:00:00,108.38,2018.0,12.0,7.0,4.0,4.0
2018-12-10 16:00:00,104.8,2018.0,12.0,10.0,0.0,4.0
2018-12-11 16:00:00,109.8,2018.0,12.0,11.0,1.0,4.0
2018-12-12 16:00:00,110.89,2018.0,12.0,12.0,2.0,4.0
Unknown,109.58,0.0,0.0,0.0,0.0,0.0
Unknown,108.25,0.0,0.0,0.0,0.0,0.0
Unknown,105.41,0.0,0.0,0.0,0.0,0.0
Unknown,103.75,0.0,0.0,0.0,0.0,0.0
Unknown,103.65,0.0,0.0,0.0,0.0,0.0
Unknown,103.05,0.0,0.0,0.0,0.0,0.0
Unknown,101.63,0.0,0.0,0.0,0.0,0.0
Unknown,97.68,0.0,0.0,0.0,0.0,0.0
Unknown,95.14,0.0,0.0,0.0,0.0,0.0
Unknown,99.3,0.0,0.0,0.0,0.0,0.0
Unknown,102.09,0.0,0.0,0.0,0.0,0.0
Unknown,101.29,0.0,0.0,0.0,0.0,0.0
2019-01-02 16:00:00,99.55,2019.0,1.0,2.0,2.0,1.0
2019-01-03 16:00:00,100.1,2019.0,1.0,3.0,3.0,1.0
2019-01-04 16:00:00,99.72,2019.0,1.0,4.0,4.0,1.0
2019-01-07 16:00:00,101.64,2019.0,1.0,7.0,0.0,1.0
2019-01-08 16:00:00,103.04,2019.0,1.0,8.0,1.0,1.0
2019-01-09 16:00:00,103.86,2019.0,1.0,9.0,2.0,1.0
2019-01-10 16:00:00,103.22,2019.0,1.0,10.0,3.0,1.0
2019-01-11 16:00:00,103.19,2019.0,1.0,11.0,4.0,1.0
Unknown,101.9,0.0,0.0,0.0,0.0,0.0
Unknown,102.51,0.0,0.0,0.0,0.0,0.0
Unknown,105.26,0.0,0.0,0.0,0.0,0.0
Unknown,105.0,0.0,0.0,0.0,0.0,0.0
Unknown,107.46,0.0,0.0,0.0,0.0,0.0
Unknown,106.75,0.0,0.0,0.0,0.0,0.0
Unknown,106.12,0.0,0.0,0.0,0.0,0.0
Unknown,106.86,0.0,0.0,0.0,0.0,0.0
Unknown,107.24,0.0,0.0,0.0,0.0,0.0
Unknown,106.26,0.0,0.0,0.0,0.0,0.0
Unknown,104.88,0.0,0.0,0.0,0.0,0.0
Unknown,104.62,0.0,0.0,0.0,0.0,0.0
Unknown,103.8,0.0,0.0,0.0,0.0,0.0
2019-02-01 16:00:00,103.78,2019.0,2.0,1.0,4.0,1.0
2019-02-04 16:00:00,102.87,2019.0,2.0,4.0,0.0,1.0
2019-02-05 16:00:00,106.06,2019.0,2.0,5.0,1.0,1.0
2019-02-06 16:00:00,107.0,2019.0,2.0,6.0,2.0,1.0
2019-02-07 16:00:00,105.19,2019.0,2.0,7.0,3.0,1.0
2019-02-08 16:00:00,104.39,2019.0,2.0,8.0,4.0,1.0
2019-02-11 16:00:00,106.2,2019.0,2.0,11.0,0.0,1.0
2019-02-12 16:00:00,106.14,2019.0,2.0,12.0,1.0,1.0
Unknown,107.5,0.0,0.0,0.0,0.0,0.0
Unknown,106.31,0.0,0.0,0.0,0.0,0.0
Unknown,107.91,0.0,0.0,0.0,0.0,0.0
Unknown,107.79,0.0,0.0,0.0,0.0,0.0
Unknown,107.86,0.0,0.0,0.0,0.0,0.0
Unknown,106.9,0.0,0.0,0.0,0.0,0.0
Unknown,110.05,0.0,0.0,0.0,0.0,0.0
Unknown,111.76,0.0,0.0,0.0,0.0,0.0
Unknown,111.26,0.0,0.0,0.0,0.0,0.0
Unknown,111.69,0.0,0.0,0.0,0.0,0.0
Unknown,112.04,0.0,0.0,0.0,0.0,0.0
2019-03-01 16:00:00,112.89,2019.0,3.0,1.0,4.0,1.0
2019-03-04 16:00:00,113.02,2019.0,3.0,4.0,0.0,1.0
2019-03-05 16:00:00,112.25,2019.0,3.0,5.0,1.0,1.0
2019-03-06 16:00:00,111.87,2019.0,3.0,6.0,2.0,1.0
2019-03-07 16:00:00,111.4,2019.0,3.0,7.0,3.0,1.0
2019-03-08 16:00:00,109.16,2019.0,3.0,8.0,4.0,1.0
2019-03-11 16:00:00,110.99,2019.0,3.0,11.0,0.0,1.0
2019-03-12 16:00:00,112.82,2019.0,3.0,12.0,1.0,1.0
Unknown,114.13,0.0,0.0,0.0,0.0,0.0
Unknown,114.54,0.0,0.0,0.0,0.0,0.0
Unknown,115.34,0.0,0.0,0.0,0.0,0.0
Unknown,116.17,0.0,0.0,0.0,0.0,0.0
Unknown,118.09,0.0,0.0,0.0,0.0,0.0
Unknown,117.39,0.0,0.0,0.0,0.0,0.0
Unknown,117.14,0.0,0.0,0.0,0.0,0.0
Unknown,119.5,0.0,0.0,0.0,0.0,0.0
Unknown,116.56,0.0,0.0,0.0,0.0,0.0
Unknown,118.62,0.0,0.0,0.0,0.0,0.0
Unknown,117.88,0.0,0.0,0.0,0.0,0.0
Unknown,117.44,0.0,0.0,0.0,0.0,0.0
Unknown,118.07,0.0,0.0,0.0,0.0,0.0
2019-04-01 16:00:00,118.95,2019.0,4.0,1.0,0.0,2.0
2019-04-02 16:00:00,119.06,2019.0,4.0,2.0,1.0,2.0
2019-04-03 16:00:00,119.86,2019.0,4.0,3.0,2.0,2.0
2019-04-04 16:00:00,120.1,2019.0,4.0,4.0,3.0,2.0
2019-04-05 16:00:00,119.39,2019.0,4.0,5.0,4.0,2.0
2019-04-08 16:00:00,119.81,2019.0,4.0,8.0,0.0,2.0
2019-04-09 16:00:00,118.63,2019.0,4.0,9.0,1.0,2.0
2019-04-10 16:00:00,119.76,2019.0,4.0,10.0,2.0,2.0
2019-04-11 16:00:00,120.54,2019.0,4.0,11.0,3.0,2.0
2019-04-12 16:00:00,120.64,2019.0,4.0,12.0,4.0,2.0
Unknown,120.94,0.0,0.0,0.0,0.0,0.0
Unknown,121.64,0.0,0.0,0.0,0.0,0.0
Unknown,121.24,0.0,0.0,0.0,0.0,0.0
Unknown,122.19,0.0,0.0,0.0,0.0,0.0
Unknown,122.62,0.0,0.0,0.0,0.0,0.0
Unknown,124.1,0.0,0.0,0.0,0.0,0.0
Unknown,125.79,0.0,0.0,0.0,0.0,0.0
Unknown,130.06,0.0,0.0,0.0,0.0,0.0
Unknown,129.7,0.0,0.0,0.0,0.0,0.0
Unknown,129.9,0.0,0.0,0.0,0.0,0.0
Unknown,129.81,0.0,0.0,0.0,0.0,0.0
2019-05-01 16:00:00,130.53,2019.0,5.0,1.0,2.0,2.0
2019-05-02 16:00:00,127.98,2019.0,5.0,2.0,3.0,2.0
2019-05-03 16:00:00,127.36,2019.0,5.0,3.0,4.0,2.0
2019-05-06 16:00:00,126.39,2019.0,5.0,6.0,0.0,2.0
2019-05-07 16:00:00,126.46,2019.0,5.0,7.0,1.0,2.0
2019-05-08 16:00:00,125.44,2019.0,5.0,8.0,2.0,2.0
2019-05-09 16:00:00,124.29,2019.0,5.0,9.0,3.0,2.0
2019-05-10 16:00:00,124.91,2019.0,5.0,10.0,4.0,2.0
Unknown,124.11,0.0,0.0,0.0,0.0,0.0
Unknown,123.87,0.0,0.0,0.0,0.0,0.0
Unknown,124.26,0.0,0.0,0.0,0.0,0.0
Unknown,126.75,0.0,0.0,0.0,0.0,0.0
Unknown,128.31,0.0,0.0,0.0,0.0,0.0
Unknown,126.52,0.0,0.0,0.0,0.0,0.0
Unknown,127.43,0.0,0.0,0.0,0.0,0.0
Unknown,126.62,0.0,0.0,0.0,0.0,0.0
Unknown,126.2,0.0,0.0,0.0,0.0,0.0
Unknown,126.91,0.0,0.0,0.0,0.0,0.0
Unknown,126.98,0.0,0.0,0.0,0.0,0.0
Unknown,125.38,0.0,0.0,0.0,0.0,0.0
Unknown,125.26,0.0,0.0,0.0,0.0,0.0
Unknown,124.23,0.0,0.0,0.0,0.0,0.0
2019-06-03 16:00:00,123.85,2019.0,6.0,3.0,0.0,2.0
2019-06-04 16:00:00,121.28,2019.0,6.0,4.0,1.0,2.0
2019-06-05 16:00:00,124.95,2019.0,6.0,5.0,2.0,2.0
2019-06-06 16:00:00,126.44,2019.0,6.0,6.0,3.0,2.0
2019-06-07 16:00:00,129.19,2019.0,6.0,7.0,4.0,2.0
2019-06-10 16:00:00,132.4,2019.0,6.0,10.0,0.0,2.0
2019-06-11 16:00:00,133.88,2019.0,6.0,11.0,1.0,2.0
2019-06-12 16:00:00,131.4,2019.0,6.0,12.0,2.0,2.0
Unknown,131.98,0.0,0.0,0.0,0.0,0.0
Unknown,132.26,0.0,0.0,0.0,0.0,0.0
Unknown,132.63,0.0,0.0,0.0,0.0,0.0
Unknown,134.19,0.0,0.0,0.0,0.0,0.0
Unknown,135.0,0.0,0.0,0.0,0.0,0.0
Unknown,137.45,0.0,0.0,0.0,0.0,0.0
Unknown,136.58,0.0,0.0,0.0,0.0,0.0
Unknown,137.0,0.0,0.0,0.0,0.0,0.0
Unknown,137.25,0.0,0.0,0.0,0.0,0.0
Unknown,134.35,0.0,0.0,0.0,0.0,0.0
Unknown,134.14,0.0,0.0,0.0,0.0,0.0
Unknown,134.57,0.0,0.0,0.0,0.0,0.0
2019-07-01 16:00:00,136.63,2019.0,7.0,1.0,0.0,3.0
2019-07-02 16:00:00,136.12,2019.0,7.0,2.0,1.0,3.0
2019-07-03 13:00:00,136.8,2019.0,7.0,3.0,2.0,3.0
2019-07-05 16:00:00,135.94,2019.0,7.0,5.0,4.0,3.0
2019-07-08 16:00:00,136.4,2019.0,7.0,8.0,0.0,3.0
2019-07-09 16:00:00,136.0,2019.0,7.0,9.0,1.0,3.0
2019-07-10 16:00:00,137.13,2019.0,7.0,10.0,2.0,3.0
2019-07-11 16:00:00,138.2,2019.0,7.0,11.0,3.0,3.0
2019-07-12 16:00:00,138.85,2019.0,7.0,12.0,4.0,3.0
Unknown,139.44,0.0,0.0,0.0,0.0,0.0
Unknown,138.96,0.0,0.0,0.0,0.0,0.0
Unknown,137.7,0.0,0.0,0.0,0.0,0.0
Unknown,135.55,0.0,0.0,0.0,0.0,0.0
Unknown,140.22,0.0,0.0,0.0,0.0,0.0
Unknown,137.41,0.0,0.0,0.0,0.0,0.0
Unknown,139.76,0.0,0.0,0.0,0.0,0.0
Unknown,138.9,0.0,0.0,0.0,0.0,0.0
Unknown,140.43,0.0,0.0,0.0,0.0,0.0
Unknown,140.37,0.0,0.0,0.0,0.0,0.0
Unknown,141.5,0.0,0.0,0.0,0.0,0.0
Unknown,140.14,0.0,0.0,0.0,0.0,0.0
Unknown,140.33,0.0,0.0,0.0,0.0,0.0
2019-08-01 16:00:00,137.0,2019.0,8.0,1.0,3.0,3.0
2019-08-02 16:00:00,138.09,2019.0,8.0,2.0,4.0,3.0
2019-08-05 16:00:00,133.3,2019.0,8.0,5.0,0.0,3.0
2019-08-06 16:00:00,133.8,2019.0,8.0,6.0,1.0,3.0
2019-08-07 16:00:00,133.79,2019.0,8.0,7.0,2.0,3.0
2019-08-08 16:00:00,136.6,2019.0,8.0,8.0,3.0,3.0
2019-08-09 16:00:00,138.61,2019.0,8.0,9.0,4.0,3.0
2019-08-12 16:00:00,137.07,2019.0,8.0,12.0,0.0,3.0
Unknown,136.05,0.0,0.0,0.0,0.0,0.0
Unknown,136.36,0.0,0.0,0.0,0.0,0.0
Unknown,134.39,0.0,0.0,0.0,0.0,0.0
Unknown,134.88,0.0,0.0,0.0,0.0,0.0
Unknown,137.85,0.0,0.0,0.0,0.0,0.0
Unknown,138.21,0.0,0.0,0.0,0.0,0.0
Unknown,138.55,0.0,0.0,0.0,0.0,0.0
Unknown,138.66,0.0,0.0,0.0,0.0,0.0
Unknown,137.19,0.0,0.0,0.0,0.0,0.0
Unknown,134.99,0.0,0.0,0.0,0.0,0.0
Unknown,136.39,0.0,0.0,0.0,0.0,0.0
Unknown,134.88,0.0,0.0,0.0,0.0,0.0
Unknown,137.25,0.0,0.0,0.0,0.0,0.0
Unknown,139.15,0.0,0.0,0.0,0.0,0.0
2019-09-03 16:00:00,136.61,2019.0,9.0,3.0,1.0,3.0
2019-09-04 16:00:00,137.3,2019.0,9.0,4.0,2.0,3.0
2019-09-05 16:00:00,139.11,2019.0,9.0,5.0,3.0,3.0
2019-09-06 16:00:00,140.03,2019.0,9.0,6.0,4.0,3.0
2019-09-09 16:00:00,139.59,2019.0,9.0,9.0,0.0,3.0
2019-09-10 16:00:00,136.8,2019.0,9.0,10.0,1.0,3.0
2019-09-11 16:00:00,135.91,2019.0,9.0,11.0,2.0,3.0
2019-09-12 16:00:00,137.85,2019.0,9.0,12.0,3.0,3.0
Unknown,137.78,0.0,0.0,0.0,0.0,0.0
Unknown,135.83,0.0,0.0,0.0,0.0,0.0
Unknown,136.96,0.0,0.0,0.0,0.0,0.0
Unknown,137.36,0.0,0.0,0.0,0.0,0.0
Unknown,140.3,0.0,0.0,0.0,0.0,0.0
Unknown,141.01,0.0,0.0,0.0,0.0,0.0
Unknown,139.23,0.0,0.0,0.0,0.0,0.0
Unknown,140.36,0.0,0.0,0.0,0.0,0.0
Unknown,137.5,0.0,0.0,0.0,0.0,0.0
Unknown,139.44,0.0,0.0,0.0,0.0,0.0
Unknown,140.15,0.0,0.0,0.0,0.0,0.0
Unknown,138.05,0.0,0.0,0.0,0.0,0.0
2019-10-01 16:00:00,139.66,2019.0,10.0,1.0,1.0,4.0
2019-10-02 16:00:00,136.25,2019.0,10.0,2.0,2.0,4.0
2019-10-03 16:00:00,134.95,2019.0,10.0,3.0,3.0,4.0
2019-10-04 16:00:00,136.75,2019.0,10.0,4.0,4.0,4.0
